Sample,X(ms) [23.05.2017 17:24:33 881 UTC],"I_encoder"[%ID1000],"M_beam_PID_manual_control"[%M4.3]
10068,11908.896320,2390,0
10069,11909.857300,2390,0
10070,11911.560480,2390,0
10071,11912.532360,2390,0
10072,11913.998280,2390,0
10073,11914.992640,2390,0
10074,11916.638200,2390,0
10075,11917.596580,2390,0
10076,11919.287100,2390,0
10077,11920.243500,2390,0
10078,11921.786060,2390,0
10079,11922.785420,2390,0
10080,11924.613580,2390,0
10081,11925.591220,2390,0
10082,11927.070200,2390,0
10083,11928.015860,2390,0
10084,11930.005040,2390,0
10085,11930.954740,2390,0
10086,11932.690740,2390,0
10087,11933.683060,2390,0
10088,11935.353920,2390,0
10089,11936.279240,2390,0
10090,11937.842840,2390,0
10091,11938.766440,2390,0
10092,11940.465180,2390,0
10093,11941.518320,2390,0
10094,11943.019880,2390,0
10095,11943.956240,2390,0
10096,11945.661920,2390,0
10097,11947.642920,2390,0
10098,11948.622760,2390,0
10099,11950.349300,2390,0
10100,11951.335520,2390,0
10101,11952.794640,2390,0
10102,11953.761080,2390,0
10103,11955.462520,2390,0
10104,11956.457540,2390,0
10105,11958.002460,2390,0
10106,11958.988260,2390,0
10107,11960.663880,2390,0
10108,11961.728140,2390,0
10109,11963.451980,2390,0
10110,11964.484040,2390,0
10111,11965.945080,2390,0
10112,11966.894060,2390,0
10113,11968.593520,2390,0
10114,11969.571300,2390,0
10115,11971.304920,2390,0
10116,11972.337020,2390,0
10117,11973.827840,2390,0
10118,11974.820880,2390,0
10119,11976.510100,2390,0
10120,11977.499820,2390,0
10121,11978.992280,2390,0
10122,11980.011620,2390,0
10123,11981.766420,2390,0
10124,11982.733040,2390,0
10125,11984.460300,2390,0
10126,11985.444520,2390,0
10127,11986.895500,2390,0
10128,11987.851380,2390,0
10129,11989.611940,2390,0
10130,11990.606260,2390,0
10131,11992.285000,2390,0
10132,11993.246900,2390,0
10133,11994.762080,2390,0
10134,11995.719580,2390,0
10135,11997.391720,2390,0
10136,11998.351200,2390,0
10137,11999.822100,2390,0
10138,12000.803100,2390,0
10139,12002.572400,2390,0
10140,12003.608400,2390,0
10141,12005.232300,2390,0
10142,12006.050080,2390,0
10143,12007.695200,2390,0
10144,12008.652980,2390,0
10145,12010.340000,2390,0
10146,12011.298620,2390,0
10147,12012.797520,2390,0
10148,12013.762680,2390,0
10149,12015.506220,2390,0
10150,12016.489720,2390,0
10151,12018.018820,2390,0
10152,12019.011900,2390,0
10153,12020.681620,2390,0
10154,12021.710160,2390,0
10155,12023.423720,2390,0
10156,12024.436840,2390,0
10157,12025.952420,2390,0
10158,12026.934020,2390,0
10159,12028.260520,2390,0
10160,12029.379500,2390,0
10161,12030.465220,2390,0
10162,12031.505380,2390,0
10163,12032.532380,2390,0
10164,12033.573720,2390,0
10165,12034.605800,2390,0
10166,12035.649840,2390,0
10167,12036.656000,2390,0
10168,12037.667940,2390,0
10169,12038.706960,2390,0
10170,12039.694520,2390,0
10171,12040.721020,2390,0
10172,12041.740740,2390,0
10173,12042.747360,2390,0
10174,12043.783060,2390,0
10175,12044.809640,2390,0
10176,12045.829480,2390,0
10177,12047.311220,2390,0
10178,12048.368260,2390,0
10179,12049.405960,2390,0
10180,12050.451420,2390,0
10181,12051.508140,2390,0
10182,12052.533460,2390,0
10183,12053.561460,2390,0
10184,12054.612020,2390,0
10185,12055.623700,2390,0
10186,12056.661500,2390,0
10187,12057.672360,2390,0
10188,12058.703000,2390,0
10189,12059.709820,2390,0
10190,12060.701060,2390,0
10191,12061.731900,2390,0
10192,12062.734540,2390,0
10193,12063.773360,2390,0
10194,12064.809200,2390,0
10195,12065.808000,2390,0
10196,12066.835560,2390,0
10197,12067.835660,2390,0
10198,12068.864860,2390,0
10199,12069.863980,2390,0
10200,12070.869360,2390,0
10201,12071.910280,2390,0
10202,12072.919380,2390,0
10203,12073.946760,2390,0
10204,12074.985880,2390,0
10205,12075.982780,2390,0
10206,12077.006500,2390,0
10207,12077.998340,2390,0
10208,12079.023780,2390,0
10209,12080.036420,2390,0
10210,12081.017660,2390,0
10211,12082.057280,2390,0
10212,12083.065640,2390,0
10213,12084.298540,2390,0
10214,12085.332540,2390,0
10215,12086.339020,2390,0
10216,12087.361300,2390,0
10217,12088.393260,2390,0
10218,12089.424920,2390,0
10219,12090.465380,2390,0
10220,12091.497800,2390,0
10221,12092.543180,2390,0
10222,12093.559980,2390,0
10223,12094.621140,2390,0
10224,12095.637400,2390,0
10225,12096.639860,2390,0
10226,12097.665820,2390,0
10227,12098.670440,2390,0
10228,12099.690820,2390,0
10229,12100.691920,2390,0
10230,12101.690760,2390,0
10231,12102.725240,2390,0
10232,12103.738400,2390,0
10233,12104.797980,2390,0
10234,12105.814100,2390,0
10235,12106.816880,2390,0
10236,12107.841500,2390,0
10237,12108.858760,2390,0
10238,12109.878880,2390,0
10239,12111.515760,2390,0
10240,12113.277220,2390,0
10241,12114.336540,2390,0
10242,12115.866720,2390,0
10243,12116.855660,2390,0
10244,12117.934200,2390,0
10245,12118.946760,2390,0
10246,12119.956240,2390,0
10247,12120.983860,2390,0
10248,12121.979180,2390,0
