Sample,X(ms) [24.05.2017 18:30:12 365 UTC],"I_encoder"[%ID1000],"Q_motor_PWM"[%QW1000],"Q_motor_direction"[%Q4.0]
1144,1426.058560,1631,0,0
1145,1427.243920,1631,0,0
1146,1428.253400,1631,0,0
1147,1429.309360,1631,0,0
1148,1430.343800,1631,0,0
1149,1431.385220,1631,0,0
1150,1432.496900,1631,0,0
1151,1433.522280,1631,0,0
1152,1434.573180,1631,0,0
1153,1435.593960,1631,0,0
1154,1436.631220,1631,0,0
1155,1437.647940,1631,0,0
1156,1438.661420,1631,0,0
1157,1439.689220,1631,0,0
1158,1440.711800,1631,0,0
1159,1441.749140,1631,0,0
1160,1442.812640,1631,0,0
1161,1443.832220,1631,0,0
1162,1444.873980,1631,0,0
1163,1445.873040,1631,0,0
1164,1446.916860,1631,0,0
1165,1447.941580,1631,0,0
1166,1448.957880,1631,0,0
1167,1450.000600,1631,0,0
1168,1451.005880,1631,0,0
1169,1452.048200,1631,0,0
1170,1453.245500,1631,0,0
1171,1454.274440,1631,0,0
1172,1455.328220,1631,0,0
1173,1456.354520,1631,0,0
1174,1457.391800,1631,0,0
1175,1458.436160,1631,0,0
1176,1459.478000,1631,0,0
1177,1460.541420,1631,0,0
1178,1461.567380,1631,0,0
1179,1462.953480,1631,0,0
1180,1463.993960,1631,0,0
1181,1465.046260,1631,0,0
1182,1466.061960,1631,0,0
1183,1467.538460,1631,0,0
1184,1468.675240,1631,0,0
1185,1469.692240,1631,0,0
1186,1470.755380,1631,0,0
1187,1471.775720,1631,0,0
1188,1472.853160,1631,0,0
1189,1473.876820,1631,0,0
1190,1474.884720,1631,0,0
1191,1475.927580,1631,0,0
1192,1476.934800,1631,0,0
1193,1477.973700,1631,0,0
1194,1478.984700,1631,0,0
1195,1479.999060,1631,0,0
1196,1481.019940,1631,0,0
1197,1482.033380,1631,0,0
1198,1483.299340,1631,0,0
1199,1484.381780,1631,0,0
1200,1485.442240,1631,0,0
1201,1486.773480,1631,0,0
1202,1487.811240,1631,0,0
1203,1488.864260,1631,0,0
1204,1489.894220,1631,0,0
1205,1490.939220,1631,0,0
1206,1491.972400,1631,0,0
1207,1493.007220,1631,0,0
1208,1494.047240,1631,0,0
1209,1495.054380,1631,0,0
1210,1496.084840,1631,0,0
1211,1497.252300,1631,0,0
1212,1498.262680,1631,0,0
1213,1499.319460,1631,0,0
1214,1500.352320,1631,0,0
1215,1501.436280,1631,0,0
1216,1502.507580,1631,0,0
1217,1503.560420,1631,0,0
1218,1504.600040,1631,0,0
1219,1505.620560,1631,0,0
1220,1506.676200,1631,0,0
1221,1507.697940,1631,0,0
1222,1508.724800,1631,0,0
1223,1509.745800,1631,0,0
1224,1510.789340,1631,0,0
1225,1511.834320,1631,0,0
1226,1512.885420,1631,0,0
1227,1513.931420,1631,0,0
1228,1514.958660,1631,0,0
1229,1515.969360,1631,0,0
1230,1517.006040,1631,0,0
1231,1518.020380,1631,0,0
1232,1519.047600,1631,0,0
1233,1520.853920,1631,0,0
1234,1522.598980,1631,0,0
1235,1523.580660,1631,0,0
1236,1525.069480,1631,0,0
1237,1526.035760,1631,0,0
1238,1527.694420,1631,0,0
1239,1528.672160,1631,0,0
1240,1530.372000,1631,0,0
1241,1531.347600,1631,0,0
1242,1532.862260,1631,0,0
1243,1533.846560,1631,0,0
