time,distance_left,distance_right
8.8973794,658,411
8.89901276,658,411
8.90011698,658,411
8.90244694,658,411
8.90408848,687,461
8.90518224,687,461
8.90706306,687,461
8.90913742,687,461
8.9104595,687,461
8.91207494,687,461
8.91315968,719,503
8.91502132,719,503
8.9168046,719,503
8.9179083,719,503
8.91981578,719,503
8.92099292,719,503
8.92283944,751,473
8.92465946,751,473
8.92588986,751,473
8.92780682,751,473
8.92894208,751,473
8.93073372,751,473
8.93260746,751,473
8.93372094,751,390
8.9355084,751,390
8.93663282,751,390
8.93845288,751,390
8.94035484,751,390
8.9415344,751,390
8.9431409,751,390
8.94439598,699,366
8.94611392,699,366
8.9479807,699,366
8.9491211,699,366
8.95077316,699,366
8.95193772,699,366
8.9531231,640,370
8.95442984,640,370
8.95560878,640,370
8.9567658,640,370
8.9579182,640,370
8.95909732,640,370
8.96043274,640,370
8.9616174,640,370
8.96280884,627,356
8.96396388,627,356
8.96510082,627,356
8.96643936,627,356
8.9676092,627,356
8.96881664,627,356
8.96996182,627,356
8.97114662,627,356
8.97245644,627,356
8.97366376,637,382
8.97482676,637,382
8.97599794,637,382
8.977163,637,382
8.9786007,637,382
8.9797648,637,382
8.98093374,637,382
8.98209118,637,382
8.98341024,643,430
8.98459006,643,430
8.98577182,643,430
8.98691192,643,430
8.98806068,643,430
8.9894214,643,430
8.99059676,643,430
8.99178222,643,430
8.99293164,679,470
8.99409544,679,470
8.99538878,679,470
8.99660316,679,470
8.9977534,679,470
8.99894706,679,470
9.0000944,679,470
9.00173072,679,470
9.00290654,715,491
9.00407018,715,491
9.0053857,715,491
9.00659812,715,491
9.00775648,715,491
9.00895024,715,491
9.01011382,715,491
9.01144394,715,491
9.01337176,715,491
9.01502718,749,467
9.0161286,749,467
9.01797296,749,467
9.01909344,749,467
9.020909,749,467
9.02271788,749,467
9.02381206,767,404
9.02566672,767,404
9.02676686,767,404
9.0286443,767,404
9.03054502,767,404
9.03167908,767,404
9.03357572,741,338
9.03469,741,338
9.03650894,741,338
9.03839486,741,338
9.03953314,741,338
9.0411459,741,338
9.04240212,741,338
9.04415828,678,306
9.0460076,678,306
9.04712362,678,306
9.04897278,678,306
9.05007226,678,306
9.0519146,678,306
9.05369658,612,340
9.05480956,612,340
9.05667192,612,340
9.05777434,612,340
9.05960322,612,340
9.0614827,612,340
9.06271232,612,340
9.0645914,596,409
9.06571182,596,409
9.06751032,596,409
9.06937984,596,409
9.07049782,596,409
9.07212472,596,409
9.0733782,622,460
9.07503848,622,460
9.07612878,622,460
9.07797814,622,460
9.07984484,622,460
9.08093586,622,460
9.08280166,622,460
9.08397914,669,503
9.08579584,669,503
9.08766172,669,503
9.08880482,669,503
9.09065672,669,503
9.09174902,669,503
9.09357356,692,524
9.09544928,692,524
9.0965795,692,524
9.09838288,692,524
9.09952502,692,524
